Cocktail Name,Ingredients,Preparation
155 Belmont,"Orange juice, Vodka, Light rum, Dark rum, ",Blend with ice. Serve in a wine glass. Garnish with carrot.
1-900-FUK-MEUP,"Pineapple juice, Cranberry juice, Amaretto, Malibu rum, Midori melon liqueur, Chambord raspberry liqueur, Grand Marnier, Absolut Kurant, ",Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.
110 in the shade,"Tequila, Lager, ",Drop shooter in glass. Fill with beer
151 Florida Bushwacker,"Vanilla ice-cream, Coconut liqueur, Milk, Cointreau, Dark Creme de Cacao, 151 proof rum, Light rum, Malibu rum, ",Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.
252,"Wild Turkey, 151 proof rum, ","Add both ingredients to shot glass, shoot, and get drunk quick"
24k nightmare,"151 proof rum, Rumple Minze, Jägermeister, Goldschlager, ","Add over ice,shake and pour."
3 Wise Men,"Jim Beam, Johnnie Walker, Jack Daniels, ",put them them in a glass... and slam it to tha head.
3-Mile Long Island Iced Tea,"Lemon, Bitters, Sweet and sour, Coca-Cola, Vodka, Triple sec, Tequila, Light rum, Gin, ",Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.
410 Gone,"Coca-Cola, Peach Vodka, ",
50/50,"Orange juice, Grand Marnier, Vanilla vodka, ",fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j.
501 Blue,"7-Up, Sour mix, Vodka, Blueberry schnapps, Blue Curacao, ",Mix equal amounts into a glass with ice.
69 Special,"Lemon juice, 7-Up, Gin, ","Pour 2 oz. gin. Add 4 oz. 7-up. Add Lemon Juice for flavor. If you are weak, top up glass with more 7-Up."
747,"Frangelico, Baileys irish cream, Kahlua, ","pour kaluha, then Baileys, then Frangelico not chilled and not layered -- SERVE!!!"
747 Drink,"Sprite, Cranberry Juice, Roses sweetened lime juice, Vodka, ","Fill a Collins glass with ice.
Pour in vodka, lime cordial, and cranberry juice.
Fill up with Sprite.
Garnish with a Lime wheel or some cranberries"
9 1/2 Weeks,"Orange juice, Strawberry liqueur, Orange Curacao, Absolut Citron, ",Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.
A1,"Grenadine, Lemon Juice, Grand Marnier, Gin, ","Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass."
ABC,"Cognac, Baileys irish cream, Amaretto, ",Layered in a shot glass.
Ace,"Egg White, Milk, Heavy cream, Grenadine, Gin, ",Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.
Adam,"Grenadine, Lemon juice, Dark rum, ","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
AT&T,"Tonic water, Gin, Absolut Vodka, ","Pour Vodka and Gin over ice, add Tonic and Stir"
ACID,"Wild Turkey, 151 proof rum, ",Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.
A. J.,"Grapefruit juice, Applejack, ","Shake ingredients with ice, strain into a cocktail glass, and serve."
Affair,"Club soda, Cranberry juice, Orange juice, Strawberry schnapps, ","Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve."
Apello,"Maraschino cherry, Apple juice, Grapefruit juice, Orange juice, ",Stirr. Grnish with maraschino cherry.
Avalon,"Lemonade, Lemon juice, Apple juice, Pisang Ambon, Vodka, ","Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition."
Abilene,"Orange juice, Peach nectar, Dark rum, ",Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.
Almeria,"Egg white, Kahlua, Dark rum, ","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
Addison,"Vermouth, Gin, ",Shake together all the ingredients and strain into a cold glass.
Acapulco,"Mint, Egg white, Sugar, Lime juice, Triple sec, Light rum, ",Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.
Affinity,"Orange bitters, Dry Vermouth, Sweet Vermouth, Scotch, ","In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass."
Applecar,"Lemon juice, Triple sec, Applejack, ","Shake all ingredients with ice, strain into a cocktail glass, and serve."
Aviation,"maraschino liqueur, lemon juice, Gin, ",Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.
Alexander,"Nutmeg, Light cream, Creme de Cacao, Gin, ",Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.
Algonquin,"Pineapple juice, Dry Vermouth, Blended whiskey, ","Combine and shake all ingredients with ice, strain contents into a cocktail glass, and serve."
Allegheny,"Lemon peel, Lemon juice, Blackberry brandy, Bourbon, Dry Vermouth, ",Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.
Artillery,"Bitters, Gin, Sweet Vermouth, ","Stir all ingredients with ice, strain into a cocktail glass, and serve."
Afterglow,"Pineapple juice, Orange juice, Grenadine, ",Mix. Serve over ice.
Autodafé,"Soda water, Lime juice, Vodka, ",Mix and fill up with soda water. Drunk by finns on a sunny day any time of the year and day.
Afternoon,"Cream, Coffee, Frangelico, Baileys irish cream, Kahlua, ","Build into a suiting glass, with no ice. Cream on top if wanted. Served directly."
After sex,"Orange juice, Creme de Banane, Vodka, ",Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar
B-53,"Grand Marnier, Sambuca, Kahlua, ","Layer the Kahlua, Sambucca and Grand Marnier into a shot glas in that order. Better than B-52"
B-52,"Kahlua, Grand Marnier, Baileys irish cream, ",Layer ingredients into a shot glass. Serve with a stirrer.
Bijou,"Sweet Vermouth, Gin, Green Chartreuse, Orange Bitters, ","Stir in mixing glass with ice and strain
"
Boxcar,"Egg white, Grenadine, Lemon juice, Triple sec, Gin, ","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass."
Big Red,"Goldschlager, Irish cream, ",Pour ingredients into 1 ounce shot glass
Bellini,"Peach schnapps, Champagne, ","Pour peach purée into chilled flute, add sparkling wine. Stir gently."
Bramble,"Creme de Mure, Sugar syrup, lemon juice, Gin, ","Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice."
Balmoral,"Bitters, Dry Vermouth, Sweet Vermouth, Scotch, ","In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass."
Bluebird,"Lemon peel, Maraschino cherry, Bitters, Blue Curacao, Triple sec, Gin, ","In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry."
Brooklyn,"Maraschino Cherry, Angostura Bitters, Maraschino Liqueur, Dry Vermouth, Rye Whiskey, ",Combine ingredients with ice and stir until well-chilled. Strain into a chilled cocktail glass.
Boomerang,"Maraschino cherry, Maraschino liqueur, Bitters, Dry Vermouth, Gin, ","In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry."
Bora Bora,"Grenadine, Lemon juice, Passion fruit juice, Pineapple juice, ","Prepare in a blender or shaker, serve in a highball glass on the rocks. Garnish with 1 slice of pineapple and one cherry."
Barracuda,"Prosecco, Lime Juice, Pineapple Juice, Galliano, Rum, ","Shake pour ingredients with ice. Strain into glass, top with Sparkling wine."
Buccaneer,"Bacardi Limon, Corona, ",Pour the corona into an 18oz beer glass pour the bacardi limon into the beer stir very gently
Brigadier,"Cherry Heering, Green Chartreuse, Hot Chocolate, ",Mix ingredients in a warmed mug and stir.
